Name,Onset,Offset,R-Onset,R-Offset,
82,0,0,0,0,
83,13.47,16.98,13,17,
84,17.9,19.63,17,20,
85,1.62,4.36,1,5,
86,0,0,0,0,
87,10.64,14.31,10,15,
88,6.37,7.31,6,8,
89,0,0,0,0,
90,0,0,0,0,
91,16.4,20.7,16,21,
92,25.64,28.54,25,29,
93,0,0,0,0,
94,0,0,0,0,
95,0,0,0,0,
96,0,0,0,0,
97,0,0,0,0,
98,0,0,0,0,
99,0,0,0,0,
100,11.68,14.3,11,15,
101,19.63,22.98,19,23,
102,17.8,22.11,17,23,
103,0,0,0,0,
104,0,0,0,0,
105,0,0,0,0,
106,0,0,0,0,
107,14.11,15.75,14,16,
108,0,0,0,0,
109,15,19.36,15,20,
110,14.84,16.67,14,17,
111,0,0,0,0,
112,27.2,28.98,27,29,
113,0,0,0,0,
114,0,0,0,0,
115,0,0,0,0,
116,0,0,0,0,
117,13.29,16.33,13,17,
118,1.9,3.28,1,4,
119,0,0,0,0,
120,11.6,12.97,11,13,
121,0,0,0,0,
122,14.16,15.66,14,16,
123,22.09,23.9,22,24,
124,0,0,0,0,
125,0,0,0,0,
126,0,0,0,0,
127,0,0,0,0,
128,0,0,0,0,
129,3.02,4.74,3,5,
130,0,0,0,0,
131,4.07,6.1,4,7,
132,18.55,19.6,18,20,
133,0,0,0,0,
134,0,0,0,0,
135,18.8,21.55,18,22,
136,0,0,0,0,
137,19.86,22.61,19,23,
138,12.33,13.31,12,14,
139,16.81,20.37,16,21,
140,20.45,23.35,20,24,
141,27.28,29.18,27,30,
142,0,0,0,0,
143,0,0,0,0,
144,0,0,0,0,
145,0,0,0,0,
146,0,0,0,0,
147,24.6,27.31,24,28,
148,0,0,0,0,
149,0,0,0,0,
150,15.37,17.72,15,18,
151,12.4,13.23,12,14,
152,0,0,0,0,
153,13.15,15.35,13,16,
154,0,0,0,0,
155,0,0,0,0,
156,26.65,28.39,26,29,
157,0,0,0,0,
158,0,0,0,0,
159,19.04,20.49,19,21,
160,2.56,5.16,2,6,
161,0,0,0,0,
162,0,0,0,0,
163,0,0,0,0,
164,0,0,0,0,
165,15.27,16.93,15,17,
166,20.5,22.9,20,23,
167,20.84,22.82,20,23,
168,15.25,16.83,15,17,
169,25.17,27.76,25,28,
170,20.6,22.02,20,23,
171,23.01,23.91,23,24,
172,0,0,0,0,
173,25.68,28.52,25,29,
174,0,0,0,0,
175,0,0,0,0,
176,20.53,22.78,20,23,
177,0,0,0,0,
178,27.03,28.61,27,29,
179,0,0,0,0,
180,4.18,5.13,4,6,
181,13.87,15.34,13,16,
182,0,0,0,0,
183,7.63,9.38,7,10,
184,15.61,16.48,15,17,
185,8.54,11.28,8,12,
186,0,0,0,0,
187,13.47,15.56,13,16,
188,0,0,0,0,
189,0,0,0,0,
190,26.92,28.52,26,29,
191,0,0,0,0,
192,0,0,0,0,
193,12.87,14.31,12,15,
194,0,0,0,0,
195,17.26,17.5,17,18,
196,13.1,15.43,13,16,
197,0,0,0,0,
198,0,0,0,0,9~11 cat
199,0,0,0,0,
200,0,0,0,0,
201,0,0,0,0,
202,11.44,15.82,11,16,
203,11.51,13.68,11,14,
204,0,0,0,0,
205,0,0,0,0,
206,0,0,0,0,
207,19.63,21.93,19,22,
208,13.05,14.35,13,15,
209,0,0,0,0,
210,14.9,19.24,14,20,
211,0,0,0,0,
212,0,0,0,0,
213,2.33,3.78,2,4,
214,0.13,1.5,0,2,
215,0,0,0,0,
216,0,0,0,0,
217,12.97,14.36,12,15,
218,0,0,0,0,
219,0,0,0,0,
220,0.35,1.05,0,2,
221,0,0,0,0,
222,12.02,14.65,12,15,
223,0,0,0,0,
224,0,0,0,0,
225,8.64,10.94,8,11,
226,0,0,0,0,
227,0,0,0,0,
228,20.45,22.85,20,23,
229,11.74,14.32,11,15,
230,0,0,0,0,
231,0,0,0,0,
232,1.57,2.16,1,3,
233,0,0,0,0,
234,18.8,21.42,18,22,
235,0,0,0,0,
236,27.19,29.18,27,30,
237,11.45,14.27,11,15,
238,0,0,0,0,
239,26.65,27.4,26,28,
240,5.13,8.3,5,9,
241,18.54,19.62,18,20,
242,0,0,0,0,
243,20.44,23.42,20,24,
244,19.78,22.1,19,23,
245,17.86,19.62,17,20,
246,0,0,0,0,
247,27.23,29.21,27,30,
248,24.33,27.31,24,28,
249,11.52,14.32,11,15,
250,0,0,0,0,
251,0,0,0,0,
252,17.72,22.08,17,23,
253,1.6,2.17,1,3,
254,0,0,0,0,
255,19.07,20.5,19,21,
256,0,0,0,0,
257,0,0,0,0,
258,0,0,0,0,
259,1.33,3,1,3,
260,0,0,0,0,
261,14.9,19.55,14,20,
262,0,0,0,0,
263,28.68,29.89,28,30,
264,0,0,0,0,
265,0,0,0,0,
266,15.32,17.41,15,18,
267,0,0,0,0,
268,0,0,0,0,
269,0,0,0,0,
270,13.45,15.51,13,16,
271,8.65,11.31,8,12,
272,0,0,0,0,
273,15.24,16.85,15,17,
274,19.92,22.62,19,23,
275,0,0,0,0,
276,0,0,0,0,
277,5.23,7.19,5,8,
278,20.89,22.95,20,23,
279,11.75,14.4,11,15,
280,22.96,24.07,22,25,
281,20.92,22.69,20,23,
282,0,0,0,0,
283,1.75,4.28,1,5,
284,12.54,14.89,12,15,
285,0,0,0,0,
286,14.63,17.17,14,18,
287,18.5,19.65,18,20,
288,0,0,0,0,
289,0,0,0,0,
290,0,0,0,0,
291,22.98,23.85,22,24,
292,9.78,12.91,9,13,
293,15.59,17.66,15,18,
294,0,0,0,0,
295,13.6,15.53,13,16,
296,14.61,17.12,14,18,
297,0,0,0,0,
298,0,0,0,0,
299,0,0,0,0,
300,0,0,0,0,
301,0,0,0,0,
302,14.58,17.25,14,18,
303,12.05,14.63,12,15,
304,0,0,0,0,
305,0,0,0,0,
306,0,0,0,0,
307,10.5,14.82,10,15,
308,0,0,0,0,
309,0,0,0,0,
310,0,0,0,0,
311,0,0,0,0,
312,0,0,0,0,
313,0,0,0,0,
314,16.36,17.81,16,18,
315,22.9,24.06,22,25,
316,15.22,16.96,15,17,
317,22.08,24.25,22,25,
318,2.62,3.5,2,4,
319,0,0,0,0,
320,21.74,22.45,21,23,
321,0,0,0,0,
322,6.51,8.71,6,9,
323,0,0,0,0,
324,0,0,0,0,
325,21.87,22.98,21,23,
326,0,0,0,0,
327,0,0,0,0,
328,0,0,0,0,
329,0,0,0,0,
330,0,0,0,0,
331,0,0,0,0,
332,0,0,0,0,
333,0,0,0,0,
334,0.98,1.65,0,2,
335,2.6,3.47,2,4,
336,0,0,0,0,
337,0,0,0,0,
338,0,0,0,0,
339,15,16.33,15,17,
340,0,0,0,0,
341,0,0,0,0,
342,19.24,23.62,19,24,
343,0,0,0,0,
344,0,0,0,0,
345,0,0,0,0,
346,10.09,11.46,10,12,
347,14.05,17.82,14,18,
348,19.28,23.62,19,24,
349,20.75,21.21,20,22,
350,25.57,26.75,25,27,
351,0,0,0,0,
352,0,0,0,0,
353,0.51,1.69,0,2,
354,0,0,0,0,
355,26.18,29.92,26,30,
356,0,0,0,0,
357,21.77,22.42,21,23,
358,0,0,0,0,
359,0,0,0,0,
360,0,0,0,0,
361,0,0,0,0,
362,0,0,0,0,
363,2.46,4.22,2,5,
364,0,0,0,0,
365,14.08,17.68,14,18,
366,3.28,5.58,3,6,
367,0,0,0,0,
368,20.66,21.24,20,22,
369,25.54,26.83,25,27,
370,12.76,13.39,12,14,
371,0,0,0,0,
372,26.18,30,26,30,
373,0,0,0,0,
374,12.32,12.76,12,13,
375,12.61,13.39,12,14,
376,0,0,0,0,
377,10.1,11.44,10,12,
378,0,0,0,0,
379,19.2,20.13,19,21,
380,0,0,0,0,
381,12.44,14,12,14,
382,2.49,3.5,2,4,
383,0,0,0,0,
384,0,0,0,0,
385,12.28,14.68,12,15,
386,0,0,0,0,
387,0,0,0,0,
388,8.24,9.51,8,10,
389,3.86,5.57,3,6,
390,0,0,0,0,
391,2.46,3.54,2,4,
392,0,0,0,0,
393,22.8,24.24,22,25,
394,23.14,25.91,23,26,
395,16.12,16.86,16,17,
396,16.03,16.95,16,17,
397,0,0,0,0,
398,0,0,0,0,
399,10.09,11.44,10,12,
400,0,0,0,0,
401,0,0,0,0,
402,4.73,8.95,4,9,
403,14.18,17.65,14,18,
404,0,0,0,0,
405,19.37,23.55,19,24,
406,5.07,6.76,5,7,
407,0,0,0,0,
408,21.39,21.92,21,22,
409,19.25,23.71,19,24,
410,16.01,16.88,16,17,
411,0,0,0,0,
412,20.74,21.21,20,22,
413,0,0,0,0,
414,0,0,0,0,
415,12.31,14.61,12,15,
416,0,0,0,0,
417,27.56,28.23,27,29,
418,0,0,0,0,
419,2.88,3.66,2,4,
420,27.52,28.33,27,29,
421,0.57,1.6,0,2,
422,0,0,0,0,
423,26.82,27.78,26,28,
424,4,5.59,4,6,
425,21.77,22.26,21,23,
426,26.78,27.71,26,28,
427,21.87,23.01,21,24,
428,0,0,0,0,
429,0,0,0,0,
430,12.84,13.4,12,14,
431,0,0,0,0,
432,0,0,0,0,
433,0,0,0,0,
434,0,0,0,0,
435,0.5,2.5,0,3,
436,9,10,9,10,
437,21,22.5,21,23,
438,13,14,13,14,
439,4.65,5.25,4,6,
440,19.95,22.45,19,23,
441,0,0,0,0,
442,0,0,0,0,
443,16.5,17.05,16,18,
444,18.45,19.7,18,20,
445,0.95,4.6,0,5,
446,8.9,9.95,8,10,
447,0,0,0,0,
448,13.05,14.5,13,15,
449,9.45,10.15,9,11,
450,7.35,9.25,7,10,
451,0.2,1.3,0,2,
452,12.85,13.6,12,14,
453,13,14.6,13,15,
454,9.05,10,9,10,
455,0,0,0,0,
456,0,0,0,0,
457,25.85,27.5,25,28,
458,0,0,0,0,
459,0.35,0.8,0,1,
460,8.85,9.6,8,10,
461,0,0,0,0,
462,0,0,0,0,
463,0,0,0,0,
464,0,0,0,0,
465,18.15,18.55,18,19,
466,25.1,25.9,25,26,
467,0,0,0,0,
468,18.4,22.7,18,23,
469,27.55,28.75,27,29,
470,20,22.5,20,23,
471,18.6,21.2,18,22,
472,0,0,0,0,
473,0,0,0,0,
474,0,0,0,0,
475,10,11.35,10,12,
476,16.55,17.05,16,18,
477,0,0,0,0,
478,12.85,13.85,12,14,
479,15.4,16.45,15,17,
480,0,0,0,0,
481,4.6,5.25,4,6,
482,0,0,0,0,
483,7.3,9.3,7,10,
484,15.35,17.15,15,18,
485,12.8,13.9,12,14,
486,24.9,26.35,24,27,
487,26.65,27.5,26,28,
488,13.2,13.95,13,14,
489,0,0,0,0,
490,18.55,21.25,18,22,
491,0,0,0,0,
492,0,0,0,0,
493,0,0,0,0,
494,0,0,0,0,
495,15.35,17.2,15,18,
496,18.55,20.95,18,21,
497,0,0,0,0,
498,0,0,0,0,
499,27.6,28.7,27,29,
500,24.75,25.65,24,26,
501,0.2,1.5,0,2,
502,0,0,0,0,
503,0.55,2.15,0,3,
504,0.55,2.15,0,3,
505,24.2,26.3,24,27,
506,5.85,7.45,5,8,
507,20.55,22.7,20,23,
508,0,0,0,0,
509,0,0,0,0,
510,0,0,0,0,
511,0.85,2.55,0,3,
512,15.35,16.45,15,17,
513,0,0,0,0,
514,0,0,0,0,
515,0,0,0,0,
516,21.2,23.35,21,24,
517,24.8,26.45,24,27,
518,0,0,0,0,
519,13.25,14,13,14,
520,11.95,12.55,11,13,
521,0.15,1.35,0,2,
522,23.4,24.35,23,25,
523,0,0,0,0,
524,27.55,28.75,27,29,
525,4.4,6.8,4,7,
526,0,0,0,0,
527,0,0,0,0,
528,0,0,0,0,
529,18.4,19.7,18,20,
530,24.2,26.25,24,27,
531,26.8,28.4,26,29,
532,9,10.05,9,11,
533,18.5,21,18,21,
534,0,0,0,0,
535,18.55,21.2,18,22,
536,3.05,4.05,3,5,
537,0,0,0,0,
538,0.55,2.15,0,3,
539,25.8,27.5,25,28,
540,0,0,0,0,
541,0,0,0,0,
542,0,0,0,0,
543,3.45,3.95,3,4,
544,0,0,0,0,
545,0,0,0,0,
546,4.65,5.2,4,6,
547,3.15,4.1,3,5,
548,11.3,11.9,11,12,
549,0,0,0,0,
550,0,0,0,0,
551,23,24.75,23,25,
552,0.65,2.15,0,3,
553,0,0,0,0,
554,0,0,0,0,
555,0,0,0,0,
556,15.35,17.2,15,18,
557,0.55,2.1,0,3,
558,25.85,27.45,25,28,
559,0,0,0,0,
560,2.85,3.9,2,4,
561,0,0,0,0,
562,13.05,14.55,13,15,
563,0,0,0,0,
564,23,25.5,23,26,
565,15.45,17,15,17,
566,0,0,0,0,
567,0,0,0,0,
568,5.85,7.5,5,8,
569,0.5,1.2,0,2,
570,0,0,0,0,
571,16.55,17.15,16,18,
572,0,0,0,0,
573,10.65,11.85,10,12,
574,0,0,0,0,
575,0.8,2.55,0,3,
576,23,25,23,25,
577,0,0,0,0,
578,0,0,0,0,
579,0,0,0,0,
580,0,0,0,0,
581,13.15,14.1,13,15,
582,7.25,9.35,7,10,
583,0,0,0,0,
584,7.25,9.3,7,10,
585,16.55,17.1,16,18,
586,20.7,22.7,20,23,
587,5.25,8.45,5,9,
588,4.35,5.85,4,6,
589,0,0,0,0,
590,0.9,2.7,0,3,
591,18.5,21.15,18,22,
592,17.9,19.65,17,20,
593,0,0,0,0,
594,0,0,0,0,
595,0,0,0,0,
596,0,0,0,0,
597,4.3,5.85,4,6,
598,0,0,0,0,
599,0,0,0,0,
600,1.85,2.7,1,3,
601,20.3,22.1,20,23,
602,0,0,0,0,
603,2.9,4,2,4,
604,9.25,9.95,9,10,
605,0,0,0,0,
606,0.75,2.3,0,3,
607,0,0,0,0,
608,7.3,9.3,7,10,
609,4.55,5.25,4,6,
610,0,0,0,0,
611,3.05,4.2,3,5,
612,5.1,8.5,5,9,
613,23,25.4,23,26,
614,0,0,0,0,
615,0,0,0,0,
616,4.6,5.7,4,6,
617,24.8,26.35,24,27,
618,0,0,0,0,
619,21.1,23.25,21,24,
620,12.8,15.75,12,16,
621,21.3,22.6,21,23,
622,0,0,0,0,
623,7,9.35,7,10,
624,0,0,0,0,
625,0,0,0,0,
626,0,0,0,0,
627,21.1,23.3,21,24,
628,0,0,0,0,
629,21.05,23.2,21,24,
630,24.55,25.15,24,26,
631,0,0,0,0,
632,20.25,22,20,22,
633,0,0,0,0,
634,0,0,0,0,
635,0,0,0,0,
636,0,0,0,0,
637,27.75,28.75,27,29,
638,21.05,23.2,21,24,
639,26.6,28.45,26,29,
640,0,0,0,0,
641,0,0,0,0,
642,0,0,0,0,
643,12.75,14.05,12,15,
644,0,0,0,0,
645,0,0,0,0,
646,0,0,0,0,
647,0,0,0,0,
648,0,0,0,0,
649,18.15,19.35,18,20,
650,0,0,0,0,
651,0.85,2.25,0,3,
652,1.45,3.35,1,4,
653,0,0,0,0,
654,24.2,26.2,24,27,
655,15.4,17.15,15,18,
656,0,0,0,0,
657,7.3,9.25,7,10,
658,0,0,0,0,
659,0,0,0,0,
660,22.95,24.85,22,25,
661,0,0,0,0,
662,0,0,0,0,
663,5.15,8.35,5,9,
664,0,0,0,0,
665,0,0,0,0,
666,15.25,16.45,15,17,
667,23.05,25.2,23,26,
668,0,0,0,0,
669,0,0,0,0,
670,0,0,0,0,
671,0.85,2.7,0,3,
672,0,0,0,0,
673,0,0,0,0,
674,6.95,9.65,6,10,
675,0,0,0,0,
676,0.15,1.3,0,2,
677,0,0,0,0,
678,22.95,24.75,22,25,
679,0,0,0,0,
680,11.1,11.95,11,12,
681,0,0,0,0,
682,0,0,0,0,
683,0,0,0,0,
684,0,0,0,0,
685,13.25,14.5,13,15,
686,0,0,0,0,
687,0,0,0,0,
688,26.6,28.35,26,29,
689,0,0,0,0,
690,2.7,3.95,2,4,
691,0,0,0,0,
692,24.2,26.2,24,27,
693,20.75,22.55,20,23,
694,18.5,20.95,18,21,
695,7.3,9.25,7,10,
696,4.6,5.8,4,6,
697,4.35,5.85,4,6,
698,0,0,0,0,
699,18.65,19.5,18,20,
700,15.35,16.45,15,17,
701,0,0,0,0,
702,12.8,15.65,12,16,
703,0,0,0,0,
704,0,0,0,0,
705,0,0,0,0,
706,0,0,0,0,
707,4.45,6.9,4,7,
708,0.85,2.3,0,3,
709,12.8,15.75,12,16,
710,0,0,0,0,
711,23.1,25.1,23,26,
712,0,0,0,0,
713,18.55,21.1,18,22,
714,2.7,3.9,2,4,
715,24.7,25.7,24,26,
716,12.8,15.7,12,16,
717,0,0,0,0,
718,0,0,0,0,
719,0,0,0,0,
720,0,0,0,0,
721,0,0,0,0,
722,0,0,0,0,
723,0,0,0,0,
724,20.35,21.8,20,22,
725,0,0,0,0,
726,0,0,0,0,
727,0,0,0,0,
728,12.85,14.65,12,15,
729,0,0,0,0,
730,0,0,0,0,
731,0,0,0,0,
732,21,23.25,21,24,
733,9.2,10.05,9,11,
734,0,0,0,0,
735,28.55,29.5,28,30,
736,0,0,0,0,
737,0,0,0,0,
738,0,0,0,0,
739,0,0,0,0,
740,3.05,4.1,3,5,
741,0,0,0,0,
742,0,0,0,0,
743,0,0,0,0,
744,0,0,0,0,
745,0,0,0,0,
746,12.85,14.55,12,15,
747,0,0,0,0,
748,0,0,0,0,
749,0,0,0,0,
750,0,0,0,0,
751,0,0,0,0,
752,4.3,5.75,4,6,
753,24.15,26.15,24,27,
754,15.3,17.85,15,18,
755,8.05,11.3,8,12,
756,0,0,0,0,
757,24.2,26.2,24,27,
758,12.8,15.8,12,16,
759,16.55,17.05,16,18,
760,0,0,0,0,
761,4.55,5.8,4,6,
762,6.8,9.15,6,10,
763,0,0,0,0,
764,4.35,5.8,4,6,
765,0,0,0,0,
766,0,0,0,0,
767,0,0,0,0,
768,0,0,0,0,
769,4.65,6.7,4,7,
770,1.8,2.9,1,3,
771,0,0,0,0,
772,0,0,0,0,
773,27.65,28.65,27,29,
774,0,0,0,0,
775,24.7,25.75,24,26,
776,28.6,29.4,28,30,
777,18.5,20.85,18,21,
778,5.75,7.45,5,8,
779,18.45,19.6,18,20,
780,26.8,28.3,26,29,
781,6.85,9.5,6,10,
782,11.1,11.9,11,12,
783,27.55,28.7,27,29,
784,18.4,19.75,18,20,
785,0,0,0,0,
786,0,0,0,0,
787,0,0,0,0,
788,0,0,0,0,
789,0,0,0,0,
790,24.2,26.2,24,27,
791,11.15,11.85,11,12,
792,0,0,0,0,
793,13.2,14.05,13,15,
794,6.95,9.7,6,10,
795,0,0,0,0,
796,18.4,22.9,18,23,
797,0,0,0,0,
798,4.6,5.3,4,6,
799,23.05,25.25,23,26,
800,24.5,25.2,24,26,
801,0,0,0,0,
802,0,0,0,0,
803,3.1,4.15,3,5,
804,8.85,11.15,8,12,
805,0,0,0,0,
806,0,0,0,0,
807,16.55,17.05,16,18,
808,23.1,25.05,23,26,
809,12.85,13.85,12,14,
810,22.95,24.8,22,25,
811,26.55,28.5,26,29,
812,20.7,22.55,20,23,
813,21.05,23.35,21,24,
814,18.4,22.65,18,23,
815,0.15,1.4,0,2,
816,0,0,0,0,
817,7.3,9.25,7,10,
818,0,0,0,0,
819,0,0,0,0,
820,0,0,0,0,
821,23,25.3,23,26,
822,2.9,4,2,4,
823,24.85,26.35,24,27,
824,0,0,0,0,
825,0,0,0,0,
826,0,0,0,0,
827,0,0,0,0,
828,0.25,0.8,0,1,
829,0,0,0,0,
830,0.8,2.55,0,3,
831,0,0,0,0,
832,0,0,0,0,
833,20,22.45,20,23,
834,0,0,0,0,
835,0,0,0,0,
836,1.85,2.75,1,3,
837,0.05,0.85,0,1,
838,0,0,0,0,
839,0,0,0,0,
840,0,0,0,0,
841,12.85,13.85,12,14,
842,13,14.6,13,15,
843,0,0,0,0,
844,0,0,0,0,
845,0,0,0,0,
846,0,0,0,0,
847,12.85,14,12,14,
848,0.85,2.55,0,3,
849,24.35,25.15,24,26,
850,0,0,0,0,
851,21.05,23.25,21,24,
852,0,0,0,0,
853,24.85,26.3,24,27,
854,0,0,0,0,
855,0.15,1.3,0,2,
856,0,0,0,0,
857,0.55,2,0,2,
858,0,0,0,0,
859,8.75,11.15,8,12,
860,0,0,0,0,
861,13,14.5,13,15,
862,24.7,25.75,24,26,
863,3.1,4.15,3,5,
864,25.85,27.45,25,28,
865,0,0,0,0,
866,1.8,2.8,1,3,
867,0,0,0,0,
868,12.85,14.45,12,15,
869,6.95,9.4,6,10,
870,0,0,,,
871,5.4,6.52,,,a
872,0.83,1.23,,,
873,0,0,,,
874,6.42,6.9,,,
875,0,0,,,
876,0,0,,,
877,0,0,,,
878,0.51,1.21,,,
879,0,0,,,
880,9.18,11.96,,,
881,0,0,,,
882,16.49,17.3,,,
883,0,0,,,
884,0,0,,,
885,22.3,25.27,,,
886,0,0,,,
887,0,0,,,
888,0,0,,,
889,9.09,10.57,,,
890,0,0,,,
891,0,0,,,
892,9.15,10.08,,,
893,6.84,7.8,,,
894,0,0,,,
895,0,0,,,
896,0,0,,,
897,8.85,9.74,,,
898,6.18,7.4,,,
899,7.7,8.3,,,
900,8.24,9.35,,,
901,0,0,,,
902,1.33,3.48,,,
903,6.69,7.93,,,a
904,0,0,,,
905,9.25,10.97,,,
906,11.81,12.59,,,
907,0,0,,,
908,0,0,,,
909,0,0,,,
910,18.18,19.07,,,
911,9.73,12.78,,,
912,7.72,8.72,,,
913,0,0,,,
914,12.23,13.92,,,
915,12.11,14.18,,,
916,0,0,,,
917,0,0,,,
918,0,0,,,
919,0,0,,,
920,0,0,,,
921,14.05,16.58,,,
922,0,0,,,
923,0,0,,,
924,0,0,,,
925,0,0,,,
926,13.94,19.64,,,
927,0,0,,,
928,0,0,,,
929,0,0,,,
930,0,0,,,
931,0,0,,,
932,0,0,,,
933,4.85,5.28,,,
934,0,0,,,
935,10.59,12.34,,,
936,6.85,7.42,,,
937,1.38,1.94,,,
938,0,0,,,
939,9.25,9.6,,,
940,0,0,,,
941,6,8,,,
942,0,0,,,
943,0,0,,,
944,10.88,11.43,,,
945,0,0,,,
946,0,0,,,
947,0,0,,,
948,0,0,,,
949,0,0,,,
950,0,0,,,
951,0,0,,,
952,0,0,,,
953,0.37,0.56,,,
954,1.15,1.58,,,
955,0,0,,,
956,0,0,,,
957,0,0,,,
958,0,0,,,
959,0,0,,,
960,0,0,,,
961,6.19,7.8,,,
962,0,0,,,
963,0,0,,,
964,0,0,,,
965,0,0,,,
966,5.03,6.27,,,
967,15.96,19.44,,,
968,9.83,10.09,,,
969,8.46,8.79,,,
970,12.39,13.25,,,
971,0,0,,,
972,13.02,15.34,,,
973,0,0,,,
974,0,0,,,
975,26.7,28.39,,,
976,0,0,,,
977,0,0,,,
978,19.21,20.56,,,
979,2.46,5.19,,,
980,0,0,,,
981,0,0,,,
982,0,0,,,
983,0,0,,,
984,15.45,16.88,,,
985,20.45,22.77,,,
986,20.95,22.88,,,
987,15.54,16.88,,,a
988,25.11,27.68,,,
989,20.55,21.97,,,
990,23.11,23.86,,,
991,0,0,,,
992,25.71,28.52,,,
993,0,0,,,
994,0,0,,,
995,20.45,22.73,,,
996,0,0,,,
997,26.97,28.67,,,
998,0,0,,,
999,4.13,5.11,,,
1000,14,15.35,,,
1001,20.19,20.75,,,
1002,8.11,8.91,,,
1003,15.59,16.44,,,
1004,8.49,11.36,,,
1005,24.56,25.08,,,
1006,13.52,15.41,,,
1007,0,0,,,
1008,0,0,,,
1009,0,0,,,a
1010,0,0,,,
1011,0,0,,,
1012,13.02,14.18,,,
1013,0,0,,,a
1014,17.3,19.54,,,
1015,13.11,15.38,,,
1016,0,0,,,
1017,0,0,,,
1018,0,0,,,
1019,0,0,,,
1020,0,0,,,
1021,11.86,14.32,,,
1022,11.5,13.79,,,
1023,0,0,,,
1024,0,0,,,
1025,0,0,,,
1026,19.68,21.95,,,
1027,13.05,14.19,,,
1028,0,0,,,
1029,15,19.22,,,
1030,0,0,,,
1031,0,0,,,
1032,2.34,3.76,,,
1033,0.22,1.51,,,
1034,0,0,,,
1035,0,0,,,
1036,11.62,14.31,,,
1037,0,0,,,
1038,0,0,,,
1039,0.38,1.24,,,
1040,0,0,,,
1041,11.99,14.69,,,
1042,0,0,,,
1043,0,0,,,
1044,0,0,,,
1045,0,0,,,
1046,0,0,,,
1047,20.61,23.13,,,
1048,11.8,14.37,,,
1049,0,0,,,
1050,0,0,,,
1051,1.54,2.22,,,
1052,0,0,,,
1053,18.81,21.01,,,
1054,0,0,,,
1055,27.21,29.18,,,
1056,11.53,14.28,,,
1057,0,0,,,
1058,26.63,28.81,,,
1059,5.15,8.3,,,
1060,18.5,19.58,,,
1061,0,0,,,
1062,20.43,23.44,,,
1063,19.73,22.19,,,
1064,17.88,19.73,,,
1065,0,0,,,
1066,27.23,29.2,,,
1067,24.67,27.28,,,
1068,11.47,14.39,,,
1069,0,0,,,
